Feature,r1,r2,r3,r4,r5,r6,r7,agree?,agree no r5 and r6,,
Racing,Neutral,Neutral,Positive,Positive,Neutral,Neutral,Positive,FALSE,FALSE,,
Number,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Lane,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Fuel,Neutral,Neutral,Neutral,Positive,Negative,Neutral,Neutral,FALSE,FALSE,,
Commercial vehicle,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Aerospace manufacturer,Neutral,Negative,Neutral,Neutral,Negative,Neutral,Neutral,FALSE,FALSE,,
Aviation,Neutral,Negative,Negative,Neutral,Neutral,Neutral,Negative,FALSE,FALSE,,
Flag,Neutral,Neutral,Negative,Neutral,Positive,Neutral,Negative,FALSE,FALSE,,
Clock,Neutral,Neutral,Neutral,Neutral,Positive,Neutral,Negative,FALSE,FALSE,,
Motorcycle,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
signaling device,Neutral,Neutral,Neutral,Positive,Neutral,Neutral,Neutral,FALSE,FALSE,,
Flowerpot,Negative,Negative,Neutral,Neutral,Positive,Neutral,Negative,FALSE,FALSE,,
Scoreboard,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Guitar,Neutral,Negative,Negative,Neutral,Positive,Neutral,Neutral,FALSE,FALSE,,
Race track,Neutral,Neutral,Neutral,Positive,Positive,Neutral,Positive,FALSE,FALSE,,
Mountain,Neutral,Negative,Neutral,Neutral,Neutral,Neutral,Negative,FALSE,FALSE,,
Operating system,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Astronomical object,Neutral,Neutral,Neutral,Neutral,Positive,Neutral,Neutral,FALSE,TRUE,,
Houseplant,Negative,Neutral,Negative,Neutral,Positive,Positive,Negative,FALSE,FALSE,,
Office equipment,Neutral,Neutral,Negative,Neutral,Neutral,Neutral,Neutral,FALSE,FALSE,,
Electronic instrument,Neutral,Neutral,Negative,Neutral,Negative,Neutral,Negative,FALSE,FALSE,,
Fashion accessory,Neutral,Neutral,Negative,Neutral,Neutral,Neutral,Negative,FALSE,FALSE,,
Metal,Neutral,Neutral,Negative,Neutral,Neutral,Neutral,Negative,FALSE,FALSE,,
Wire fencing,Positive,Positive,Positive,Negative,Neutral,Negative,Positive,FALSE,FALSE,,
Bench,Neutral,Negative,Neutral,Neutral,Positive,Positive,Negative,FALSE,FALSE,,
Food group,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Food,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Neutral,FALSE,TRUE,,
Laptop,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Billboard,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Cartoon,Neutral,Neutral,Negative,Neutral,Positive,Neutral,Negative,FALSE,FALSE,,
Pole,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Screen door,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Motorsport,Neutral,Neutral,Neutral,Positive,Neutral,Neutral,Neutral,FALSE,FALSE,,
News,Neutral,Neutral,Positive,Neutral,Neutral,Neutral,Positive,FALSE,FALSE,,
Track,Neutral,Neutral,Neutral,Positive,Negative,Neutral,Neutral,FALSE,FALSE,,
Railway,Neutral,Neutral,Neutral,Positive,Positive,Neutral,Neutral,FALSE,FALSE,,
Railroad car,Neutral,Neutral,Neutral,Neutral,Negative,Neutral,Neutral,FALSE,TRUE,,
Locomotive,Neutral,Neutral,Neutral,Neutral,Positive,Neutral,Neutral,FALSE,TRUE,,
Audio equipment,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Snow,Neutral,Neutral,Neutral,Neutral,Positive,Neutral,Neutral,FALSE,TRUE,,
Pattern,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Transport,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Meadow,Neutral,Negative,Neutral,Neutral,Positive,Positive,Neutral,FALSE,FALSE,,
